City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised,13353.92218,,
Richardson,1/7/2011,6.13056E+11,Diagnostic Imaging Equipment,Hampden County,Medical Devices and Equipment,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,East Longmeadow,MA,Dallas-Fort Worth,708,1,16156,16.156,,70.8
Lyndhurst,1/7/2011,1.82337E+11,Medical Software and Information Services: Other,Hampden County,Medical Software and Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Agawam,MA,New York Metro,1057,1,11211,11.211,,105.7
Eden Prairie,1/7/2011,62097752675,Therapeutic Devices (Minimally Invasive/Noninvasive),Hampshire County,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Granby,MA,,324,1,6300,6.3,,32.4
New York,1/7/2011,6.05954E+11,Biotechnology Therapeutics,Hampden County,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 1,Tolland,MA,New York Metro,186,1,2313,2.313,,18.6
Portland,1/7/2011,88644753258,Wired Communications Equipment,Hampshire County,Communications and Networking,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Hadley,MA,,280,1,5301,5.301,,28
San Francisco,1/10/2011,6.15063E+11,Entertainment,Hampden County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Hampden,MA,San Francisco Bay Area,206,1,5193,5.193,,20.6
Cambridge,1/10/2011,1.1255E+11,Biotechnology Therapeutics,Hampshire County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Hatfield,MA,Boston Metro,112,1,2897,2.897,,11.2
Cupertino,1/10/2011,86430752808,Biotechnology Therapeutics,Hampden County,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Holyoke,MA,San Francisco Bay Area,11228,1,40362,40.362,,1122.8
Austin,1/10/2011,60094757877,Computer Systems,Hampshire County,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Generating Revenue,Huntington,MA,Austin Metro,165,1,2334,2.334,,16.5
Palo Alto,1/10/2011,6.12604E+11,Recreational/Home Software,Hampshire County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Northampton,MA,San Francisco Bay Area,309,1,1658,1.658,,30.9
Denver,1/11/2011,76524753029,Business Support Services: Other,Franklin County,Business Support Services,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Leverett,MA,,120,1,1997,1.997,,12
Mountain View,1/11/2011,91354753388,Lending,Hampden County,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Ludlow,MA,San Francisco Bay Area,1195,1,21331,21.331,,119.5
Culver City,1/11/2011,63662753558,Search Portals,Hampshire County,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Northampton,MA,Los Angeles Metro,1962,1,15729,15.729,,196.2
San Diego,1/11/2011,6.04917E+11,Biotechnology Therapeutics,Hampshire County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Startup,Northampton,MA,San Diego Metro,1485,1,10587,10.587,,148.5
San Francisco,1/11/2011,63251753390,Commercial Fishing/Aquaculture,Worcester County,Agriculture and Forestry,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Oakham,MA,San Francisco Bay Area,70,1,1849,1.849,,7
Beverly Hills,1/11/2011,1.1094E+11,Consumer Electronics,Hampden County,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Russell,MA,Los Angeles Metro,54,1,1206,1.206,,5.4
Mountain View,1/11/2011,6.12277E+11,Communications Software,Franklin County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Shutesbury,MA,San Francisco Bay Area,182,1,1490,1.49,,18.2
Rochester,1/12/2011,6.07088E+11,Biotechnology Therapeutics,Hampshire County,Biopharmaceuticals,"Rochester, MN",Midwest Central,Generating Revenue,Southampton,MA,,278,1,6090,6.09,,27.8
New York,1/12/2011,1.1316E+11,Outpatient Facilities,Hampshire County,Healthcare Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,South Hadley,MA,New York Metro,1602,1,17755,17.755,,160.2
New York,1/12/2011,64831757688,Business Applications Software,Hampden County,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Southwick,MA,New York Metro,697,1,9711,9.711,,69.7
San Francisco,1/12/2011,6.13245E+11,To Be Assigned,Hampden County,To Be Assigned,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,Wales,MA,San Francisco Bay Area,94,1,1827,1.827,,9.4
Cambridge,1/13/2011,3.54544E+11,Advertising/Marketing,Hampshire County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Ware,MA,Boston Metro,1429,1,10637,10.637,,142.9
San Francisco,1/13/2011,6.09377E+11,Travel Arrangement/Tourism,Worcester County,Travel and Leisure,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Warren,MA,San Francisco Bay Area,290,1,3182,3.182,,29
Boston,1/13/2011,6.1491E+11,Medical Imaging Software,Hampden County,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Westfield,MA,Boston Metro,3252,1,41652,41.652,,325.2
San Diego,1/13/2011,6.12014E+11,Biotechnology Therapeutics,Hampden County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,West Springfield,MA,San Diego Metro,3453,1,28671,28.671,,345.3
Breinigsville,1/13/2011,65609753378,Fiberoptic Equipment,Worcester County,Communications and Networking,"Allentown-Bethlehem-Easton, PA-NJ",Mid-Atlantic,Generating Revenue,Warren,MA,,172,1,1133,1.133,,17.2
San Francisco,1/14/2011,68953753511,Procurement/Supply Chain,Hampden County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Wilbraham,MA,San Francisco Bay Area,573,1,14659,14.659,,57.3
New York,1/14/2011,90265753207,Personal/Commercial Banking,Hampshire County,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Williamsburg,MA,New York Metro,214,1,2607,2.607,,21.4
Houston,1/14/2011,2.30142E+11,Payment/Transactional Processing,Hampshire County,Financial Institutions and Services,"Houston-Baytown-Sugar Land, TX",South Central,Profitable,Worthington,MA,,87,1,1186,1.186,,8.7
Andover,1/14/2011,3.59283E+11,Therapeutic Devices (Invasive),Hampden County,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Springfield,MA,Boston Metro,6815,1,23635,23.635,,681.5
Frisco,1/14/2011,72331753524,Wired Communications Equipment,Hampden County,Communications and Networking,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Springfield,MA,Dallas-Fort Worth,6021,1,11601,11.601,,602.1
Boulder,1/14/2011,6.15123E+11,Fiberoptic Equipment,Hampden County,Communications and Networking,"Boulder, CO",Mountain,Product Development,Longmeadow,MA,,576,1,16048,16.048,,57.6
Bridgewater,1/14/2011,86554753206,Fiberoptic Equipment,Hampden County,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Springfield,MA,New York Metro,4784,1,11304,11.304,,478.4
Burlington,1/14/2011,83052753250,Business Applications Software,Hampden County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Springfield,MA,Boston Metro,8877,1,28925,28.925,,887.7
San Francisco,1/14/2011,1.10448E+11,Multimedia/Streaming Software,Hampden County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Springfield,MA,San Francisco Bay Area,8071,1,30125,30.125,,807.1
Emeryville,1/15/2011,6.11624E+11,Specialty Foods,Hampden County,Food and Beverage,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Springfield,MA,San Francisco Bay Area,2145,1,14774,14.774,,214.5
Los Angeles,1/15/2011,6.12999E+11,General Media/Content,Hampden County,Media and Content,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Startup,Springfield,MA,Los Angeles Metro,2107,1,13236,13.236,,210.7
Ventura,1/17/2011,6.09671E+11,Customer Relationship Management,Hampden County,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Springfield,MA,Los Angeles Metro,55,1,2798,2.798,,5.5
Cambridge,1/18/2011,6.10614E+11,Advertising/Marketing,Hampden County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Springfield,MA,Boston Metro,699,1,6750,6.75,,69.9
Chicago,1/18/2011,1.15967E+11,Biofuels/Biomass,Hampden County,Renewable Energy,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Product Development,Springfield,MA,Chicago Metro,1936,1,8884,8.884,,193.6
Miramar,1/18/2011,55445742124,Biotechnology Therapeutics,Berkshire County,Biopharmaceuticals,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Clinical Trials - Phase 3,Pittsfield,MA,,6415,1,44775,44.775,,641.5
San Diego,1/18/2011,1.13913E+11,Pharmaceuticals,Berkshire County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 2,Adams,MA,San Diego Metro,910,1,8211,8.211,,91
San Diego,1/18/2011,3.5633E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Berkshire County,Medical Devices and Equipment,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Becket,MA,San Diego Metro,141,1,2351,2.351,,14.1
Palo Alto,1/18/2011,6.05514E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Berkshire County,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Cheshire,MA,San Francisco Bay Area,126,1,3169,3.169,,12.6
Boxborough,1/18/2011,6.13005E+11,Database Software,Berkshire County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Dalton,MA,Boston Metro,678,1,6839,6.839,,67.8
Alameda,1/18/2011,6.04043E+11,Multimedia/Streaming Software,Berkshire County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Great Barrington,MA,San Francisco Bay Area,406,1,8359,8.359,,40.6
Sunnyvale,1/18/2011,6.13124E+11,Electronic Components/Devices,Berkshire County,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Hinsdale,MA,San Francisco Bay Area,208,1,2671,2.671,,20.8
Saint Petersburg,1/18/2011,1.00934E+11,Wireless Communications Equipment,Berkshire County,Communications and Networking,"Tampa-St. Petersburg-Clearwater, FL",South East,Generating Revenue,Lee,MA,,452,1,5917,5.917,,45.2
Sunnyvale,1/19/2011,59679753267,Fuel Cells,Berkshire County,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Lenox,MA,San Francisco Bay Area,163,1,4493,4.493,,16.3
Rockville,1/19/2011,81676753588,Biotechnology Therapeutics,Berkshire County,Biopharmaceuticals,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Clinical Trials - Phase 3,Monterey,MA,Potomac,73,1,803,0.803,,7.3
Pittsburgh,1/19/2011,59761759694,Surgical Devices,Berkshire County,Medical Devices and Equipment,"Pittsburgh, PA",Mid-Atlantic,Product Development,North Adams,MA,,2434,1,15703,15.703,,243.4
Madison,1/19/2011,91260757930,Pharmaceuticals,Berkshire County,Biopharmaceuticals,"Madison, WI",Midwest East,Clinical Trials - Phase 1,Richmond,MA,,71,1,977,0.977,,7.1
Palo Alto,1/20/2011,6.11622E+11,General Business Consulting,Berkshire County,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Sandisfield,MA,San Francisco Bay Area,33,1,859,0.859,,3.3
Santa Fe,1/20/2011,1.0666E+11,Nuclear Energy,Berkshire County,Non-Renewable Energy,"Santa Fe, NM",Mountain,Product Development,Sheffield,MA,,223,1,2138,2.138,,22.3
Burlington,1/20/2011,1.14204E+11,Biotechnology Therapeutics,Berkshire County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Stockbridge,MA,Boston Metro,141,1,1110,1.11,,14.1
Brentwood,1/20/2011,62245758258,Inpatient Facilities,Berkshire County,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Profitable,West Stockbridge,MA,,79,1,1360,1.36,,7.9
Marlborough,1/20/2011,1.05658E+11,Coatings/Adhesives,Berkshire County,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product In Beta Test,Williamstown,MA,Boston Metro,589,1,7853,7.853,,58.9
Jersey City,1/20/2011,56105753620,Communications Software,Berkshire County,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Windsor,MA,New York Metro,50,1,813,0.813,,5
San Francisco,1/20/2011,81119753646,Communications Software,Franklin County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Greenfield,MA,San Francisco Bay Area,2220,1,17715,17.715,,222
Mountain View,1/20/2011,6.11585E+11,Software Development Tools,Franklin County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Ashfield,MA,San Francisco Bay Area,109,1,1468,1.468,,10.9
Lanham,1/21/2011,6.11446E+11,Business to Business Marketplaces,Worcester County,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Athol,MA,Potomac,1789,1,13281,13.281,,178.9
Sunnyvale,1/21/2011,6.04572E+11,Payment/Transactional Processing,Franklin County,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Bernardston,MA,San Francisco Bay Area,238,1,2626,2.626,,23.8
Suwanee,1/21/2011,6.0803E+11,Data Management Services,Franklin County,Business Support Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,Buckland,MA,,21,1,170,0.17,,2.1
Seattle,1/21/2011,1.82896E+11,Online Communities,Franklin County,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Charlemont,MA,Seattle Metro,168,1,1472,1.472,,16.8
Bloomfield,1/21/2011,80997753406,Biofuels/Biomass,Franklin County,Renewable Energy,"Hartford-West Hartford-East Hartford, CT",New England,Product Development,Colrain,MA,,227,1,1642,1.642,,22.7
Midland,1/21/2011,6.1166E+11,Oil/Gas Exploration and Production,Franklin County,Non-Renewable Energy,"Midland, TX",South Central,Startup,Conway,MA,,40,1,1743,1.743,,4
San Diego,1/21/2011,55917753699,Biotechnology Therapeutics,Franklin County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Erving,MA,San Diego Metro,159,1,1518,1.518,,15.9
Davis,1/21/2011,54687753653,Crop Cultivation/Horticulture,Franklin County,Agriculture and Forestry,"Sacramento--Arden-Arcade--Roseville, CA",Northern California,Generating Revenue,Montague,MA,,194,1,2209,2.209,,19.4
Palo Alto,1/21/2011,3.58625E+11,Database Software,Franklin County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Gill,MA,San Francisco Bay Area,92,1,1604,1.604,,9.2
Lexington,1/22/2011,6.11567E+11,Filters/Membranes,Franklin County,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Northfield,MA,Boston Metro,118,1,3012,3.012,,11.8
New York,1/24/2011,3.58519E+11,Facilities/Operations Management,Franklin County,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Orange,MA,New York Metro,794,1,7819,7.819,,79.4
Austin,1/24/2011,1.02392E+11,Procurement/Supply Chain,Worcester County,Business Support Services,"Austin-Round Rock, TX",South Central,Generating Revenue,Petersham,MA,Austin Metro,64,1,1218,1.218,,6.4
Lexington,1/24/2011,92355753358,Drug Development Technologies,Worcester County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Royalston,MA,Boston Metro,134,1,1316,1.316,,13.4
Newark,1/24/2011,93229753643,Biotechnology Therapeutics,Franklin County,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Phase 2,Shelburne,MA,San Francisco Bay Area,388,1,4032,4.032,,38.8
Bethesda,1/24/2011,61503753707,Medical/Lab Services,Franklin County,Healthcare Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,South Deerfield,MA,Potomac,332,1,4160,4.16,,33.2
Milpitas,1/24/2011,1.82955E+11,Therapeutic Devices (Invasive),Franklin County,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Sunderland,MA,San Francisco Bay Area,593,1,3662,3.662,,59.3
Santa Clara,1/24/2011,3.55217E+11,Electronic Components/Devices,Franklin County,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Turners Falls,MA,San Francisco Bay Area,953,1,5096,5.096,,95.3
Austin,1/24/2011,86298753381,Software: Other,Worcester County,Software,"Austin-Round Rock, TX",South Central,Generating Revenue,Fitchburg,MA,Austin Metro,6961,1,40666,40.666,,696.1
Middletown,1/25/2011,6.1163E+11,Logistics/Delivery Services,Worcester County,Wholesale Trade and Shipping,"Hartford-West Hartford-East Hartford, CT",New England,Generating Revenue,Ashburnham,MA,,290,1,6210,6.21,,29
San Jose,1/25/2011,6.06774E+11,Data Management Services,Middlesex County,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Ashby,MA,San Francisco Bay Area,248,1,3195,3.195,,24.8
San Francisco,1/25/2011,3.55636E+11,Online Communities,Middlesex County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Ayer,MA,San Francisco Bay Area,940,1,7703,7.703,,94
Pacific Palisades,1/25/2011,6.12649E+11,Travel and Leisure: Other,Worcester County,Travel and Leisure,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Gardner,MA,Los Angeles Metro,3222,1,20496,20.496,,322.2
San Francisco,1/25/2011,1.13476E+11,Online Communities,Middlesex County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Groton,MA,San Francisco Bay Area,483,1,11282,11.282,,48.3
New York,1/25/2011,6.1162E+11,Online Communities,Worcester County,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Hubbardston,MA,New York Metro,109,1,4581,4.581,,10.9
Livermore,1/25/2011,6.11689E+11,Solar Energy,Worcester County,Renewable Energy,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Leominster,MA,San Francisco Bay Area,5511,1,41446,41.446,,551.1
Seattle,1/25/2011,1.16112E+11,Biofuels/Biomass,Middlesex County,Renewable Energy,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Littleton,MA,Seattle Metro,370,1,9754,9.754,,37
Baltimore,1/25/2011,65318753382,Surgical Devices,Worcester County,Medical Devices and Equipment,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Lunenburg,MA,Potomac,912,1,11150,11.15,,91.2
Mesa,1/25/2011,1.01909E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Middlesex County,Medical Devices and Equipment,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Generating Revenue,Pepperell,MA,,674,1,12049,12.049,,67.4
Laguna Hills,1/25/2011,72808755640,Therapeutic Devices (Invasive),Middlesex County,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Generic,Shirley,MA,Orange County,625,1,7572,7.572,,62.5
Laguna Hills,1/25/2011,72808753594,Therapeutic Devices (Invasive),Worcester County,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Generic,Templeton,MA,Orange County,174,1,4124,4.124,,17.4
New York,1/25/2011,1.8284E+11,Biotechnology Therapeutics,Middlesex County,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Townsend,MA,New York Metro,288,1,7454,7.454,,28.8
Tampa,1/25/2011,74311753642,Managed Care,Worcester County,Healthcare Services,"Tampa-St. Petersburg-Clearwater, FL",South East,Generating Revenue,Westminster,MA,,117,1,7566,7.566,,11.7
Torrance,1/25/2011,3.59777E+11,Data Storage,Middlesex County,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Townsend,MA,Los Angeles Metro,89,1,1964,1.964,,8.9
Newark,1/26/2011,1.10458E+11,Automotive Parts,Worcester County,Vehicles and Parts,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Winchendon,MA,San Francisco Bay Area,1166,1,10738,10.738,,116.6
New York,1/26/2011,81044753644,Entertainment,Worcester County,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Auburn,MA,New York Metro,742,1,16412,16.412,,74.2
Sunrise,1/26/2011,4.71222E+11,Patient Monitoring/Biofeedback,Worcester County,Medical Devices and Equipment,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,Berlin,MA,,89,1,3098,3.098,,8.9
Memphis,1/26/2011,6.11625E+11,Drug Discovery/Bioinformatics Software,Worcester County,Medical Software and Information Services,"Memphis, TN-MS-AR",South East,Generating Revenue,Blackstone,MA,,365,1,9201,9.201,,36.5
Portland,1/26/2011,1.09811E+11,Multimedia/Streaming Software,Worcester County,Software,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Boylston,MA,,184,1,4524,4.524,,18.4
Lisle,1/26/2011,1.02173E+11,Communications Software,Worcester County,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Brookfield,MA,Chicago Metro,311,1,3406,3.406,,31.1
Santa Clara,1/26/2011,61118753654,Design Automation Software,Worcester County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Charlton,MA,San Francisco Bay Area,618,1,13379,13.379,,61.8
Philadelphia,1/27/2011,6.15108E+11,Payment/Transactional Processing,Worcester County,Financial Institutions and Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Clinton,MA,,826,1,13855,13.855,,82.6
New York,1/27/2011,87608753479,Lending,Worcester County,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,East Brookfield,MA,New York Metro,100,1,2123,2.123,,10
Seattle,1/27/2011,1.8226E+11,Business Support Services: Other,Worcester County,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Douglas,MA,Seattle Metro,361,1,8745,8.745,,36.1
New York,1/27/2011,6.11721E+11,Advertising/Marketing,Worcester County,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Fiskdale,MA,New York Metro,123,1,3490,3.49,,12.3
Scotts Valley,1/27/2011,1.83459E+11,Recreational/Sports Vehicles,Worcester County,Vehicles and Parts,"Santa Cruz-Watsonville, CA",Northern California,Generating Revenue,Grafton,MA,San Francisco Bay Area,266,1,6657,6.657,,26.6
Chicago,1/27/2011,4.70791E+11,Online Communities,Worcester County,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Holden,MA,Chicago Metro,534,1,15061,15.061,,53.4
Pleasanton,1/27/2011,85588753656,Therapeutic Devices (Minimally Invasive/Noninvasive),Hampden County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Holland,MA,San Francisco Bay Area,103,1,2510,2.51,,10.3
Evanston,1/27/2011,6.11792E+11,Vertical Market Applications Software,Worcester County,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Holden,MA,Chicago Metro,327,1,3497,3.497,,32.7
Aliso Viejo,1/27/2011,99857753954,Communications Software,Worcester County,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Profitable,Lancaster,MA,Orange County,333,1,7735,7.735,,33.3
Austin,1/27/2011,87157753834,Electronic Components/Devices,Worcester County,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Product In Beta Test,Leicester,MA,Austin Metro,440,1,6702,6.702,,44
San Francisco,1/28/2011,6.13461E+11,Online Communities,Worcester County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Millbury,MA,San Francisco Bay Area,797,1,13521,13.521,,79.7
